,0
0,718.3530000000001
1,308.3308661390452
2,420.3482661223651
3,402.79136055699666
4,497.4022960214199
5,582.3998939089453
6,351.59666369299197
7,509.445494712888
8,569.9113538847588
9,2005.085449928781
10,1589.1027857393083
11,2081.732394314592
12,1664.8304702041355
13,1873.8597463006986
14,3111.34484805847
15,3556.8726089836255
16,4537.967060690187
17,4104.077512732892
18,4261.877928757744
19,4651.18987836056
20,4944.978905286903
21,5346.251613044327
22,5128.893128813151
23,5626.081783051408
24,5585.694556226436
25,5619.804150088456
26,5730.585537641464
27,5523.526848694519
28,5342.2275373023
29,5305.1660405525345
30,5360.350442683349
31,5299.508872633376
32,5488.837444486758
33,5156.752603564147
34,5150.584964968706
35,5043.563426292736
36,5102.224741227378
37,4835.1582921761
38,5120.151856251693
39,4745.943970122325
40,4889.883795612684
41,4719.663236766637
42,4692.797733442356
43,4518.915856905155
44,4341.016602885256
45,4140.992056533754
46,4146.222467465455
47,4032.1712820525695
48,3865.4532577248
49,3694.4634398044423
50,3529.0951697990677
51,3391.8725164320545
52,3309.486971611337
53,3160.921967114237
54,3077.5370982993745
55,2996.7061051128476
56,2923.13798873526
57,2755.347999420204
58,2592.7817651217674
59,2565.3112921309826
60,2544.1932641892263
61,2474.797314998982
62,2413.2238950142387
63,2349.1447091252094
64,2291.2720829525174
65,2137.9827635693346
66,1998.5150460786008
67,1973.6863300835803
68,1985.2941432194482
69,1876.2403828420095
70,1796.817001496958
71,1748.188008219338
72,1723.6437046022722
73,1622.800471460512
74,1523.1414971249917
75,1474.2144902061304
76,1460.1061807107765
77,1254.672004109081
78,1335.7147724126153
79,1360.8011165953267
80,1294.5474820907525
81,1156.5927478298427
82,1099.5870164299065
83,1115.1487155767493
84,1114.9006370220038
85,1093.8407315745085
86,1077.3345728019597
87,1073.8077010817196
88,1026.8098007277758
89,982.2197903533433
90,939.2274102004598
91,891.2698940266197
92,863.1172290690099
93,858.4213946854803
94,864.7272514145502
95,821.8691201469379
96,764.2128753588584
97,718.9807425901535
98,693.9034325355998
99,600.9453476561349
100,652.7319648655746
101,630.7045644695853
102,618.2058780347716
103,594.9177069001634
104,552.4403454735763
105,504.931959354511
106,479.8802509249141
107,471.43530406703866
108,450.69356497046664
109,428.70507584409245
110,410.84276423456805
111,394.97646883135934
112,363.7694266695092
113,359.49625043146597
114,348.1930795346821
115,343.8724826087303
116,321.03615421973336
117,223.42428331493997
118,324.37256695109306
119,308.5900472688281
120,236.89615999894414
121,267.5557336837817
122,253.36348648413332
123,234.2357797037749
124,219.0710221422366
125,209.20007072862958
126,183.1942301677058
127,188.4524362366114
128,184.64851366432836
129,185.51216048984674
130,184.7235422800634
131,159.84070416544668
132,188.91997435352422
133,191.91192413767882
134,187.43849775114427
135,184.07319726815211
136,185.27380408243582
137,179.28339484197016
138,173.60089980017037
139,164.91065428457813
140,157.74767331281097
141,155.2561018563377
142,152.86418878053544
143,137.8969293829181
144,142.47873784260597
145,133.75233095139305
146,130.09350045637188
147,125.58500744928725
148,121.25906081571787
149,116.3677554704025
150,111.99488800738685
151,108.11265642856445
152,88.19579009251474
153,100.3482222866749
154,78.94880645404756
155,96.01325807915435
156,80.29930878711804
157,86.8848163179889
158,84.86265439252205
159,65.72524841699261
160,75.55382877375932
161,73.4272112326047
162,69.24183891866697
163,64.73418291327077
164,58.32024273874367
165,57.38385051780643
166,51.06847510218117
167,50.41775606476393
168,41.14387551707388
169,46.160192914471644
170,46.1034616310938
171,47.21232848446095
172,45.81358507143273
173,37.802256219667264
174,42.22598450499255
175,41.09529998038548
176,37.25618872111485
177,35.93339270196716
178,35.199408325916984
179,34.682458075110276
180,33.82386426620418
181,33.54740256385779
182,31.990304599029987
183,29.19173665570884
184,25.868693337866468
185,9.217468470660567
186,21.835904735917065
187,22.47445373495196
188,22.346892625907948
189,23.61655775222455
190,22.627507863976465
191,21.89421071631734
192,19.513662073074205
193,18.69078601825535
194,13.80092438205396
195,14.244535813034103
196,16.040415672182558
197,16.854002049052426
198,16.33914222475245
199,15.899632379936248
200,15.394603072978073
201,15.174190086222053
202,10.228600663101412
203,12.2042665550098
204,12.18092389946814
205,11.597567034060573
206,12.049093808308275
207,11.460165313075695
208,7.35474162566348
209,9.87347469087965
210,11.213020080612903
211,4.327983838221912
212,9.221908960059627
213,7.077178615936444
214,6.3188103517123295
215,7.09496480793548
216,6.920784440875281
217,8.390130950797742
218,7.759020185749119
219,7.024006768717718
220,5.484124711606617
221,5.636667514885255
222,3.4708459100169633
223,4.287044890752945
224,4.188238151771626
225,5.0348178642575805
226,5.1136155569056045
227,4.939228095135126
228,4.992240678822207
229,4.441561256884375
230,3.448128962232627
231,2.755181867767859
232,1.5857938294376068
233,2.8848109915027984
234,2.690496323073356
235,3.8048621182554996
236,3.28217710867013
237,2.861537798781393
238,3.1916779722743924
239,2.6501292072713767
240,2.0813546242431937
241,1.7419015649012213
242,1.9485635085582762
243,2.254884341838867
244,2.6745850107294964
245,2.921747597489191
246,2.5180035189997096
247,2.413274312685176
248,2.155268491606762
249,1.4241856939952453
250,1.3420434805758856
251,1.6103110649496626
252,2.3415199460004517
253,1.7966051948361277
254,2.6795294015500137
255,2.370233973563651
256,0.6002639712637242
257,1.537373850772449
258,1.4531307717708448
259,0.6647719964285056
260,1.3052014161711218
261,1.4969901564187407
262,1.94038562061251
263,1.7632389155394579
264,1.51985052652168
265,1.1979527543165975
266,0.5644433450865343
267,0.1975836022282751
268,0.5525266117036095
269,0.31606097709969366
270,1.210676141230641
271,0.4363315391863228
272,1.2844386252006152
273,1.2330285927675264
274,0.4998285624649368
275,1.0032986742437957
276,0.07424785508693414
277,0.39653796445728906
278,0.8675179975105131
279,0.5846580274069318
280,1.6421387965646503
281,0.4923093344731076
282,1.5977019390273577
283,0.4210982549164944
284,1.52812665631278
285,0.35149459120273735
286,0.21431429731881843
287,1.1922766999237417
288,0.12570126651267216
289,0.8050816530748233
290,0.8472599891545307
291,0.8211540581727994
292,0.6076013855978732
293,0.4416070000806557
294,1.299629431000529
295,0.5732759215016922
296,0.6343934659750854
297,0.49771782497350686
298,1.2799494207109543
299,1.0155138558407024
300,1.0699997867413793
301,1.2351679002485663
302,1.0688139250883235
303,0.644372296769484
304,0.6046502633948518
305,1.2668545655350034
306,1.680137821869414
307,1.0921492437238867
308,0.6183169853964174
309,0.5917817576477999
310,1.1789747546196145
311,0.653659206765667
312,0.303425074062727
313,0.6132288610413644
314,0.7132792400479873
315,1.2057484059952916
316,0.47595746202202105
317,0.6324447803983628
318,0.5996576310437478
319,0.6457373766767683
320,1.0288678952148376
321,0.7290626956303515
322,0.6218069719403257
323,0.34557315970757957
324,0.36451790731020206
325,0.7206939262693439
326,0.7022143301132713
327,0.8325862102872017
328,0.7720503687002229
329,0.9691073700081524
330,0.3758253266674978
331,0.5592117670466478
332,0.9351261361055301
333,0.4512742103258301
334,1.1805569263006168
335,0.7884954461221492
336,0.5700019480555398
337,0.585904492703746
338,0.6831178297142115
339,0.40800115469866505
340,0.4069709706974668
341,0.40967586361052616
342,0.7922769605198501
343,0.898374686095218
344,1.2702766856092549
345,0.885526489688866
346,0.23703923960715953
347,0.6690296886028955
348,0.7799346159594198
349,0.8569793253858423
350,1.5322387298522848
