,Frequency,Intensity0,Intensity1,Intensity2,Intensity3,Intensity4,Intensity5,Intensity6,Intensity7,Intensity8,Intensity9,Intensity10,Intensity11,Intensity12,Intensity13,Intensity14,Intensity15,Intensity16,Intensity17,Intensity18,Intensity19,Intensity20,Intensity21,Intensity22,Intensity23,Intensity24,Intensity25,Intensity26,Intensity27,Intensity28,Intensity29,Intensity30,Intensity31,Intensity32,Intensity33,Intensity34,Intensity35,Intensity36,Intensity37,Intensity38,Intensity39,Intensity40,Intensity41,Intensity42,Intensity43,Intensity44,Intensity45,Intensity46,Intensity47,Intensity48,Intensity49,Intensity50,Intensity51,Intensity52,Intensity53,Intensity54,Intensity55,Intensity56,Intensity57,Intensity58,Intensity59,Intensity60,Intensity61,Intensity62,Intensity63,Intensity64,Intensity65,Intensity66,Intensity67,Intensity68,Intensity69,Intensity70,Intensity71,Intensity72,Intensity73,Intensity74,Intensity75,Intensity76,Intensity77,Intensity78,Intensity79,Intensity80,Intensity81,Intensity82,Intensity83,Intensity84,Intensity85,Intensity86,Intensity87,Intensity88,Intensity89,Intensity90,Intensity91,Intensity92,Intensity93,Intensity94,Intensity95,Intensity96,Intensity97,Intensity98,Intensity99,Intensity100,Intensity101,Intensity102,Intensity103,Intensity104,Intensity105,Intensity106,Intensity107,Intensity108,Intensity109,Intensity110,Intensity111,Intensity112,Intensity113,Intensity114,Intensity115,Intensity116,Intensity117,Intensity118,Intensity119
1353,0.30019601435209853,0.19626,0.20509,0.1993,0.19238,0.19701,0.20302,0.1999,0.18343,0.19653,0.20473,0.18725,0.09315,0.09655,0.08758,0.14316,0.26793,0.23694,0.16764,0.16325,0.18156,0.22171,0.19158,0.18327,0.20755,0.22132,0.3563,0.27504,0.18991,0.16127,0.17719,0.19276,0.15386,0.17916,0.15925,0.16732,0.1644,0.16228,0.16729,0.16029,0.17236,0.16126,0.16773,0.17803,0.17509,0.14996,0.15597,0.16362,0.14769,0.16305,0.15785,0.15058,0.15709,0.16117,0.15434,0.20974,0.08998,0.08305,0.08004,0.09881,0.10574,0.08862,0.09317,0.08988,0.09452,0.11099,0.09888,0.1552,0.17008,0.16852,0.11066,0.17433,0.16289,0.16092,0.16569,0.16028,0.15895,0.16443,0.1636,0.16689,0.1743,0.1579,0.17273,0.16168,0.16397,0.1825,0.16697,0.15754,0.23532,0.10815,0.09842,0.1056,0.11296,0.1261,0.11326,0.1026,0.10413,0.10716,0.11809,0.10714,0.17385,0.17418,0.15853,0.11925,0.18159,0.17167,0.1698,0.16814,0.18144,0.17748,0.16649,0.16439,0.17334,0.17859,0.1669,0.17543,0.16909,0.17644,0.1805,0.16961,0.16492
1354,0.3011867579682379,0.19748,0.20446,0.1967,0.19027,0.19455,0.2013,0.19675,0.1815,0.19368,0.20073,0.18587,0.09048,0.09587,0.08423,0.14267,0.27067,0.21033,0.17427,0.16263,0.17551,0.19091,0.18961,0.18329,0.19928,0.2133,0.35158,0.27444,0.18442,0.14934,0.1801,0.17982,0.1516,0.1799,0.16214,0.16737,0.16057,0.16158,0.16037,0.1597,0.16837,0.15439,0.174,0.16812,0.17003,0.1494,0.15444,0.16417,0.14587,0.161,0.1557,0.14956,0.15831,0.1612,0.14925,0.21646,0.09009,0.0828,0.07751,0.09565,0.10289,0.0885,0.09212,0.08667,0.09604,0.11083,0.09975,0.15532,0.17085,0.16979,0.10959,0.17425,0.16218,0.16159,0.16458,0.15607,0.15964,0.16342,0.16239,0.16386,0.17436,0.15621,0.17156,0.16202,0.15855,0.1788,0.16285,0.15333,0.23874,0.10744,0.0998,0.10113,0.11199,0.12635,0.11178,0.10309,0.1032,0.10932,0.11555,0.10567,0.17862,0.17341,0.1595,0.11629,0.17226,0.1758,0.16597,0.17085,0.1825,0.1657,0.16645,0.15923,0.17299,0.17603,0.16775,0.17462,0.17262,0.17026,0.18082,0.16947,0.16231
1355,0.30218406278505744,0.19578,0.203,0.19284,0.18777,0.19103,0.19762,0.19449,0.17887,0.1919,0.19367,0.18312,0.08866,0.09547,0.08354,0.14243,0.27451,0.16897,0.18124,0.16679,0.16687,0.16632,0.18522,0.18751,0.18569,0.22105,0.34419,0.26313,0.17741,0.14608,0.17578,0.1644,0.15081,0.17333,0.16508,0.16746,0.15849,0.1555,0.15636,0.15629,0.1591,0.15257,0.17581,0.16327,0.1636,0.14908,0.1518,0.16069,0.14501,0.15852,0.15653,0.15012,0.15857,0.15696,0.14375,0.21188,0.08876,0.0842,0.07878,0.09449,0.09969,0.08917,0.09076,0.08474,0.09769,0.10989,0.09991,0.1587,0.17077,0.17236,0.10778,0.1713,0.16366,0.1591,0.16399,0.15422,0.15688,0.16061,0.15985,0.16185,0.16914,0.15473,0.17018,0.15813,0.15512,0.17511,0.15853,0.15153,0.23237,0.10745,0.10055,0.09902,0.11286,0.12408,0.11002,0.10393,0.10104,0.11246,0.11283,0.10342,0.18184,0.17244,0.1635,0.11382,0.16179,0.17959,0.16622,0.17184,0.18422,0.15537,0.16962,0.1561,0.17141,0.1742,0.16736,0.17406,0.17339,0.1644,0.18072,0.16762,0.16062
1356,0.30318799419643055,0.19263,0.20136,0.18961,0.18593,0.18743,0.19332,0.1939,0.17672,0.19109,0.18853,0.1805,0.08537,0.09601,0.08394,0.14387,0.2777,0.13785,0.18354,0.17457,0.15721,0.15706,0.18462,0.19931,0.17787,0.23546,0.33936,0.25388,0.17678,0.15602,0.17002,0.14947,0.15346,0.16173,0.1655,0.16739,0.15505,0.14922,0.15854,0.15003,0.14915,0.15621,0.17004,0.1647,0.16241,0.14867,0.14927,0.15594,0.14659,0.15645,0.15864,0.15088,0.15858,0.15042,0.14253,0.20507,0.0864,0.08437,0.08149,0.09474,0.09776,0.08973,0.09034,0.08416,0.09806,0.1091,0.10048,0.1647,0.1721,0.17617,0.10576,0.16724,0.16808,0.15576,0.1651,0.1562,0.1532,0.15876,0.15785,0.16238,0.16192,0.15432,0.16856,0.15304,0.15659,0.17479,0.15795,0.15341,0.21774,0.10803,0.09888,0.10019,0.11396,0.12042,0.10888,0.10453,0.09897,0.11452,0.11166,0.10111,0.18305,0.17234,0.17098,0.11283,0.1565,0.18144,0.17036,0.17149,0.18446,0.15182,0.1779,0.15566,0.16918,0.17297,0.1673,0.1725,0.17029,0.16174,0.17889,0.16645,0.16128
1357,0.30419861846814705,0.19048,0.19989,0.18877,0.18542,0.18406,0.18922,0.1933,0.17672,0.19189,0.18832,0.18005,0.08106,0.09556,0.08411,0.14687,0.27638,0.1274,0.17722,0.18327,0.14934,0.16608,0.18808,0.21811,0.18091,0.23503,0.33113,0.25162,0.18293,0.17284,0.17077,0.13838,0.15822,0.15118,0.16179,0.1668,0.15147,0.14751,0.16624,0.14377,0.14389,0.16026,0.16071,0.17191,0.16992,0.14761,0.14871,0.15435,0.14962,0.15422,0.159,0.15042,0.15894,0.14478,0.1473,0.20627,0.08609,0.08275,0.08283,0.09658,0.0981,0.08975,0.09151,0.083,0.09681,0.1089,0.10145,0.17079,0.17589,0.17983,0.10429,0.16539,0.17302,0.15271,0.16656,0.16014,0.15228,0.15983,0.15699,0.1642,0.15742,0.15519,0.16585,0.1511,0.16313,0.1786,0.16265,0.15776,0.20145,0.10888,0.09548,0.10167,0.11483,0.11691,0.10785,0.10428,0.09685,0.11352,0.11277,0.09862,0.18254,0.17264,0.17961,0.11287,0.15963,0.18074,0.17518,0.17169,0.18295,0.15546,0.18905,0.15708,0.16707,0.17137,0.16806,0.16894,0.16623,0.16242,0.1752,0.16797,0.16416
1358,0.3052160027524934,0.19034,0.1984,0.19079,0.18556,0.18084,0.18561,0.19107,0.17949,0.19428,0.18998,0.1817,0.07874,0.09311,0.08595,0.14973,0.26729,0.13995,0.1646,0.18847,0.14402,0.19387,0.18895,0.23531,0.19565,0.21568,0.3222,0.25316,0.18625,0.18217,0.18151,0.13203,0.16219,0.14784,0.15591,0.16585,0.1531,0.15138,0.17371,0.14154,0.14604,0.16058,0.15507,0.18294,0.18298,0.14598,0.15034,0.15708,0.15242,0.15241,0.1566,0.14836,0.15816,0.14314,0.15556,0.21137,0.08862,0.08143,0.08207,0.1001,0.1,0.0899,0.09371,0.08086,0.09529,0.10892,0.10161,0.17491,0.18091,0.18152,0.10376,0.16881,0.17452,0.15042,0.16631,0.16343,0.15654,0.16307,0.15657,0.16519,0.15874,0.15642,0.16275,0.15435,0.17134,0.18316,0.16988,0.16255,0.19104,0.10926,0.09316,0.10067,0.11587,0.11413,0.10687,0.10342,0.09406,0.10989,0.11543,0.0961,0.18149,0.17151,0.18502,0.11329,0.17017,0.17756,0.17689,0.17272,0.18072,0.16348,0.19658,0.15932,0.16644,0.16997,0.16896,0.16466,0.16484,0.16534,0.17181,0.17225,0.16656
1359,0.3062402151031271,0.19132,0.19685,0.19472,0.1847,0.17836,0.18274,0.18764,0.18387,0.19635,0.18991,0.18314,0.07896,0.09051,0.09034,0.15088,0.2593,0.1708,0.15234,0.18607,0.13943,0.23556,0.18062,0.23602,0.21789,0.19968,0.33305,0.25296,0.18158,0.17653,0.19708,0.12828,0.16313,0.15449,0.15311,0.16536,0.15974,0.15809,0.17432,0.14605,0.15432,0.15748,0.15709,0.19404,0.1922,0.14459,0.15209,0.16093,0.15447,0.15262,0.15383,0.1462,0.15532,0.14719,0.16286,0.20769,0.09038,0.08176,0.08111,0.10406,0.1017,0.09068,0.09524,0.08041,0.09514,0.10885,0.1008,0.17678,0.18478,0.18034,0.10434,0.17871,0.1717,0.1498,0.16384,0.16458,0.16556,0.16594,0.156,0.16417,0.16599,0.1569,0.16196,0.16131,0.17685,0.18367,0.17447,0.16668,0.19294,0.10802,0.09386,0.09785,0.11689,0.11212,0.10638,0.10255,0.09186,0.10632,0.11756,0.09508,0.18088,0.16807,0.18467,0.11429,0.18382,0.17233,0.17419,0.1726,0.17813,0.17188,0.19556,0.16127,0.16832,0.17102,0.16872,0.16248,0.16746,0.16965,0.17156,0.17777,0.16614
1360,0.30727132449025085,0.19195,0.19518,0.19847,0.18184,0.17787,0.1807,0.18407,0.18725,0.1958,0.18901,0.18224,0.07993,0.08976,0.09443,0.14987,0.26212,0.20513,0.14489,0.17715,0.13498,0.27005,0.16349,0.21427,0.23436,0.20706,0.36579,0.24621,0.17827,0.16441,0.20451,0.1247,0.16039,0.16839,0.15729,0.16462,0.16319,0.16314,0.1668,0.15646,0.16464,0.1543,0.16464,0.2001,0.18872,0.14454,0.15187,0.16257,0.15558,0.1542,0.1539,0.14605,0.15264,0.15573,0.16558,0.19465,0.08847,0.08312,0.08274,0.10716,0.10234,0.09116,0.09435,0.08388,0.09665,0.10937,0.10008,0.17653,0.18598,0.17619,0.1061,0.1926,0.1675,0.15093,0.15991,0.16284,0.17472,0.16562,0.15561,0.16097,0.17584,0.1559,0.16517,0.16868,0.17778,0.18,0.17353,0.16985,0.21079,0.10479,0.09634,0.09576,0.11719,0.11176,0.1052,0.10197,0.09273,0.10527,0.11716,0.09655,0.18045,0.1633,0.18024,0.11615,0.19476,0.16659,0.16887,0.16972,0.17516,0.17658,0.18735,0.16188,0.17142,0.17528,0.16621,0.16383,0.17306,0.17433,0.17535,0.1826,0.16365
1361,0.30830944402277677,0.19155,0.19295,0.19984,0.17768,0.1793,0.17938,0.18053,0.18727,0.19247,0.18897,0.17918,0.08138,0.09127,0.09574,0.14739,0.27033,0.2234,0.14302,0.16682,0.13345,0.26853,0.14412,0.18288,0.23103,0.23884,0.376,0.2323,0.18603,0.15769,0.19462,0.12141,0.15497,0.18171,0.1671,0.16139,0.15918,0.16296,0.1556,0.16752,0.17323,0.15513,0.17207,0.19782,0.17406,0.14622,0.14994,0.16271,0.15489,0.15525,0.15784,0.14869,0.15237,0.16471,0.16282,0.18766,0.08531,0.08506,0.0875,0.10932,0.1028,0.09033,0.09153,0.08976,0.09898,0.11151,0.09976,0.17342,0.18468,0.16953,0.1086,0.20385,0.16452,0.15221,0.15578,0.15837,0.17783,0.16121,0.15597,0.15647,0.18309,0.15329,0.17096,0.17374,0.17539,0.17789,0.169,0.17143,0.24401,0.10134,0.09839,0.09538,0.11652,0.11407,0.10169,0.102,0.09712,0.10685,0.11463,0.09921,0.17957,0.15889,0.1756,0.11821,0.19815,0.16274,0.1636,0.16489,0.17248,0.175,0.17706,0.16102,0.17231,0.18038,0.16162,0.16758,0.17965,0.17749,0.18145,0.18518,0.16096
1362,0.3093545584308187,0.19012,0.19021,0.19821,0.1741,0.18071,0.17881,0.17745,0.18392,0.18851,0.18835,0.17603,0.08427,0.09403,0.0953,0.14486,0.27257,0.21959,0.14691,0.15805,0.1375,0.2392,0.13073,0.15777,0.21072,0.27326,0.34207,0.21729,0.20013,0.16099,0.17411,0.12149,0.14892,0.18705,0.17725,0.15547,0.15472,0.15742,0.14628,0.17287,0.17811,0.16232,0.17563,0.18922,0.1591,0.14885,0.14808,0.1648,0.15212,0.15658,0.16413,0.1532,0.15366,0.16973,0.15689,0.19851,0.08536,0.0879,0.09286,0.11043,0.10497,0.08901,0.08967,0.09488,0.10138,0.11524,0.09971,0.16703,0.18197,0.16212,0.11115,0.20556,0.16311,0.15235,0.15343,0.15345,0.17312,0.1551,0.15704,0.15298,0.18453,0.15042,0.17582,0.17563,0.17188,0.18189,0.16506,0.17077,0.27799,0.10045,0.10012,0.0957,0.1153,0.11807,0.09738,0.10328,0.10246,0.10883,0.11301,0.10138,0.17838,0.15617,0.17339,0.11982,0.19314,0.16238,0.1603,0.16058,0.17121,0.16809,0.16905,0.15992,0.16871,0.18222,0.15675,0.17116,0.18475,0.1779,0.1866,0.18449,0.15867
