,Frequency,Intensity0,Intensity1,Intensity2,Intensity3,Intensity4,Intensity5,Intensity6,Intensity7,Intensity8,Intensity9,Intensity10,Intensity11,Intensity12,Intensity13,Intensity14,Intensity15,Intensity16,Intensity17,Intensity18,Intensity19,Intensity20,Intensity21,Intensity22,Intensity23,Intensity24,Intensity25,Intensity26,Intensity27,Intensity28,Intensity29,Intensity30,Intensity31,Intensity32,Intensity33,Intensity34,Intensity35,Intensity36,Intensity37,Intensity38,Intensity39,Intensity40,Intensity41,Intensity42,Intensity43,Intensity44,Intensity45,Intensity46,Intensity47,Intensity48,Intensity49,Intensity50,Intensity51,Intensity52,Intensity53,Intensity54,Intensity55,Intensity56,Intensity57,Intensity58,Intensity59,Intensity60,Intensity61,Intensity62,Intensity63,Intensity64,Intensity65,Intensity66,Intensity67,Intensity68,Intensity69,Intensity70,Intensity71,Intensity72,Intensity73,Intensity74,Intensity75,Intensity76,Intensity77,Intensity78,Intensity79,Intensity80,Intensity81,Intensity82,Intensity83,Intensity84,Intensity85,Intensity86,Intensity87,Intensity88,Intensity89,Intensity90,Intensity91,Intensity92,Intensity93,Intensity94,Intensity95,Intensity96,Intensity97,Intensity98,Intensity99,Intensity100,Intensity101,Intensity102,Intensity103,Intensity104,Intensity105,Intensity106,Intensity107,Intensity108,Intensity109,Intensity110,Intensity111,Intensity112,Intensity113,Intensity114
1486,0.533681746653027,0.19716,0.16105,0.18038,0.1896,0.18098,0.16966,0.20432,0.21288,0.18962,0.17821,0.1821,-0.01865,0.19565,0.01448,-0.03632,-0.02836,0.04813,0.05102,0.00628,0.06106,-0.00723,0.02825,0.10362,0.04273,-0.01244,-0.04255,0.15817,0.15611,0.18671,0.03794,0.15931,0.17589,0.14282,0.16628,0.11785,0.12104,0.15336,0.08407,0.03654,0.17906,0.13484,0.17677,0.1549,0.19075,0.19502,0.16599,0.17566,0.134,0.16765,0.02248,0.00785,-0.05026,-0.04603,0.03559,0.07232,-0.00776,0.05914,-0.00468,-0.00488,0.03444,-0.02631,0.14247,0.1043,0.12091,0.03777,0.15167,0.16036,0.12044,0.15983,0.18104,0.148,0.17037,0.15434,0.16627,0.15711,0.18745,0.1548,0.16639,0.12557,0.14954,0.14708,0.14523,0.17881,0.01635,-0.03594,-0.04621,0.05251,0.05551,-0.00604,0.03656,-0.0047,0.00623,0.03585,-0.02676,0.12878,0.05893,0.17375,0.03657,0.16113,0.15877,0.1156,0.15205,0.1535,0.12863,0.15232,0.133,0.11405,0.13904,0.11837,0.11882,0.16857,0.13716,0.12979,0.13241,0.13545
1487,0.536821174374402,0.19784,0.16565,0.18614,0.19713,0.19124,0.17013,0.21316,0.21428,0.18721,0.17982,0.18084,-0.02084,0.22466,0.00629,-0.03785,-0.0399,0.05244,0.05839,0.00935,0.06228,-0.00623,0.03596,0.12635,0.04319,-0.01269,-0.035,0.1648,0.15418,0.17215,0.03535,0.16761,0.16994,0.14778,0.1648,0.11733,0.1347,0.14736,0.08264,0.03366,0.17031,0.1367,0.17829,0.16075,0.19438,0.19648,0.1795,0.17679,0.13505,0.16942,0.03181,0.00099,-0.0626,-0.05735,0.03945,0.0868,-0.01743,0.04989,-0.00065,-0.00086,0.03685,-0.02257,0.13975,0.09448,0.12754,0.03762,0.15508,0.16738,0.11856,0.15733,0.18933,0.15677,0.16739,0.15447,0.16238,0.15175,0.19029,0.15571,0.17115,0.1187,0.14903,0.14576,0.15147,0.17312,0.00827,-0.04129,-0.04711,0.05316,0.05883,-0.01051,0.03169,-0.00661,0.00805,0.03327,-0.0195,0.12741,0.05262,0.17937,0.03591,0.15929,0.16169,0.12128,0.1577,0.14629,0.13127,0.15823,0.13335,0.11434,0.14332,0.11938,0.13328,0.1699,0.1381,0.12319,0.13267,0.13951
1488,0.5399976240104544,0.20139,0.17701,0.19586,0.20388,0.20333,0.18135,0.22762,0.21982,0.18601,0.17966,0.18285,-0.02612,0.2644,-0.0019,-0.03588,-0.04835,0.06173,0.07024,0.00925,0.06362,-0.00685,0.04268,0.14629,0.05004,-0.00947,-0.04316,0.16905,0.15082,0.16461,0.03741,0.18528,0.16157,0.15395,0.16715,0.12769,0.15016,0.15436,0.07305,0.02898,0.17097,0.14007,0.18386,0.16595,0.19137,0.19848,0.18798,0.18564,0.13794,0.17858,0.05034,-0.00534,-0.07421,-0.0628,0.04739,0.10518,-0.0216,0.04648,0.00214,0.00668,0.04351,-0.00735,0.14048,0.08479,0.1373,0.04042,0.16718,0.17376,0.11477,0.15313,0.19694,0.16587,0.17227,0.1549,0.1599,0.15045,0.19325,0.16582,0.1773,0.11571,0.14698,0.14384,0.1627,0.1576,-0.00343,-0.0457,-0.04725,0.05802,0.06419,-0.00982,0.03616,-0.01037,0.01462,0.03707,-0.00886,0.12727,0.0426,0.18112,0.03752,0.16537,0.17297,0.13461,0.16194,0.13946,0.1272,0.1642,0.14235,0.12194,0.15018,0.12158,0.14459,0.17167,0.1422,0.12019,0.1355,0.14595
1489,0.543211888439093,0.21217,0.18981,0.20365,0.2098,0.21247,0.19701,0.24188,0.22791,0.18952,0.17916,0.19123,-0.03164,0.29455,-0.00528,-0.02543,-0.04862,0.0701,0.07885,0.00689,0.06269,-0.00372,0.04513,0.15759,0.05993,-0.0023,-0.05358,0.16836,0.14715,0.16975,0.04151,0.19547,0.15443,0.16424,0.16742,0.14115,0.16262,0.16612,0.06006,0.02599,0.18413,0.14642,0.19816,0.16582,0.18613,0.19886,0.18679,0.19519,0.14181,0.18873,0.06272,-0.00608,-0.07639,-0.05979,0.05736,0.11447,-0.01656,0.04923,0.00185,0.01274,0.05057,0.01495,0.14959,0.08732,0.14954,0.0429,0.18158,0.17925,0.11478,0.15199,0.20072,0.17362,0.18317,0.15424,0.16027,0.15848,0.19608,0.17625,0.18716,0.11952,0.15031,0.14637,0.17172,0.1479,-0.01377,-0.04315,-0.04461,0.06843,0.06753,-0.00609,0.04904,-0.01559,0.02118,0.04342,0.00333,0.13268,0.03437,0.18097,0.03793,0.17537,0.18935,0.15131,0.16617,0.14047,0.12466,0.17326,0.1548,0.13342,0.15933,0.12353,0.14845,0.17426,0.1489,0.12183,0.14218,0.15059
1490,0.5464646469664505,0.22891,0.19773,0.20505,0.2169,0.2154,0.21046,0.2518,0.23195,0.19785,0.184,0.20298,-0.03482,0.29482,-0.0052,-0.00608,-0.03528,0.07009,0.08199,0.00723,0.05288,0.00362,0.04731,0.16327,0.06611,0.00668,-0.05226,0.16464,0.14084,0.17858,0.04089,0.19273,0.14731,0.17855,0.16006,0.14009,0.16858,0.17169,0.05008,0.02657,0.20254,0.15614,0.21755,0.16263,0.18384,0.19877,0.18159,0.19644,0.14654,0.19535,0.06014,-0.00391,-0.0625,-0.04829,0.06394,0.10905,-0.00718,0.05194,-0.00639,0.01471,0.05333,0.03467,0.15885,0.09793,0.15835,0.03909,0.18905,0.18748,0.12327,0.15881,0.201,0.17941,0.1939,0.15467,0.16208,0.17534,0.19994,0.17837,0.20048,0.12948,0.16187,0.1579,0.17586,0.15313,-0.01905,-0.03359,-0.03417,0.07685,0.07,-0.00209,0.05793,-0.01931,0.02659,0.04762,0.01288,0.14224,0.03453,0.18098,0.03215,0.18683,0.20381,0.16003,0.16725,0.1498,0.12464,0.18371,0.16607,0.14119,0.17084,0.12568,0.15251,0.17609,0.1569,0.12463,0.14964,0.15355
1491,0.5497565952674454,0.24271,0.19911,0.20296,0.22554,0.21584,0.22342,0.25861,0.22889,0.20707,0.19527,0.21179,-0.03464,0.26444,-0.00372,0.01159,-0.01107,0.06147,0.0853,0.01298,0.033,0.00675,0.05397,0.16747,0.06545,0.01366,-0.04221,0.16547,0.1339,0.18537,0.03677,0.19139,0.14119,0.19084,0.15133,0.12005,0.1674,0.16749,0.04699,0.02839,0.21654,0.16278,0.22843,0.16346,0.18625,0.2003,0.18251,0.1901,0.15419,0.19937,0.04932,-0.00305,-0.03666,-0.03466,0.06399,0.10089,-0.00188,0.04907,-0.02292,0.01467,0.05218,0.04199,0.1621,0.10816,0.15883,0.03124,0.19283,0.19977,0.13592,0.1695,0.20284,0.17879,0.19965,0.15782,0.1654,0.19409,0.20622,0.17423,0.21181,0.1411,0.17396,0.17355,0.17773,0.16815,-0.01626,-0.02397,-0.01798,0.07691,0.07503,0.00154,0.054,-0.02339,0.0312,0.04927,0.01574,0.1532,0.04836,0.18358,0.02328,0.2012,0.21244,0.15678,0.16286,0.16163,0.12493,0.18919,0.17521,0.14381,0.18177,0.12938,0.16108,0.18073,0.16502,0.12794,0.15356,0.15851
1492,0.553088445881804,0.24658,0.19861,0.20335,0.23374,0.22007,0.23715,0.26367,0.22348,0.21388,0.20643,0.21254,-0.03095,0.22413,0.00181,0.01392,0.01165,0.05371,0.09379,0.01706,0.01757,0.00123,0.06369,0.16943,0.06273,0.01575,-0.03474,0.17516,0.13478,0.19219,0.03703,0.1982,0.13625,0.19444,0.1529,0.099,0.16043,0.15793,0.0494,0.02752,0.22271,0.1629,0.22429,0.17003,0.19489,0.20334,0.19059,0.18156,0.16464,0.20533,0.03818,-0.00112,-0.01143,-0.02588,0.05935,0.10494,-0.00576,0.0414,-0.03806,0.01792,0.05227,0.03523,0.16498,0.11836,0.15111,0.02934,0.20173,0.21067,0.14859,0.17448,0.20543,0.1684,0.19797,0.1606,0.17214,0.20509,0.21117,0.16959,0.21479,0.1509,0.1775,0.18156,0.17941,0.17819,-0.00616,-0.02015,-0.00644,0.07047,0.08294,0.00337,0.04616,-0.03029,0.03537,0.05044,0.01206,0.16409,0.07093,0.19377,0.02005,0.21745,0.21453,0.14965,0.16162,0.17206,0.1298,0.18414,0.18105,0.14809,0.18791,0.13252,0.16794,0.19139,0.17011,0.13522,0.15369,0.16365
1493,0.5564609287282313,0.24223,0.20167,0.20688,0.23907,0.22875,0.24709,0.26589,0.22193,0.21758,0.21069,0.20545,-0.02408,0.19352,0.01417,0.00113,0.02008,0.05788,0.10342,0.00911,0.02349,-0.00689,0.06876,0.16657,0.06401,0.01397,-0.03397,0.18876,0.14656,0.19629,0.04393,0.20449,0.13136,0.1875,0.16596,0.09105,0.15024,0.15136,0.05316,0.02538,0.22255,0.16176,0.21424,0.17728,0.21002,0.20445,0.19727,0.17524,0.17431,0.21544,0.02747,0.00531,0.00239,-0.02169,0.05642,0.11893,-0.01688,0.03532,-0.04285,0.02512,0.05644,0.02378,0.17015,0.13052,0.13923,0.03788,0.2132,0.21284,0.16197,0.17227,0.20202,0.15239,0.18977,0.16063,0.18008,0.20432,0.20895,0.16605,0.21029,0.15819,0.17565,0.17647,0.18005,0.17646,0.00593,-0.02153,-0.00744,0.06371,0.09148,-0.00102,0.04893,-0.03884,0.03858,0.05293,0.00714,0.17249,0.0864,0.21315,0.02654,0.22469,0.21455,0.14609,0.17011,0.18262,0.14182,0.16918,0.18249,0.15733,0.18906,0.13308,0.16808,0.20343,0.16752,0.14584,0.15432,0.16441
1494,0.5598747916375065,0.2391,0.21016,0.21141,0.24326,0.23904,0.25165,0.2669,0.22783,0.21914,0.21048,0.19897,-0.01554,0.18047,0.02762,-0.01302,0.01477,0.07491,0.10726,-0.00681,0.04635,-0.01088,0.06252,0.15846,0.0697,0.01274,-0.03715,0.20166,0.16615,0.19491,0.05261,0.20652,0.13138,0.17828,0.17929,0.09166,0.14387,0.15657,0.05636,0.02689,0.21902,0.16287,0.2108,0.1821,0.22448,0.20273,0.2002,0.17764,0.18222,0.22751,0.02167,0.01297,0.00223,-0.01548,0.06199,0.12874,-0.02688,0.03655,-0.03921,0.03111,0.06182,0.01932,0.16938,0.14209,0.13371,0.05111,0.22004,0.20666,0.17795,0.17086,0.19433,0.13862,0.18261,0.16226,0.1856,0.1995,0.20276,0.16464,0.20813,0.16411,0.17873,0.16504,0.18041,0.1732,0.0144,-0.02437,-0.01705,0.06063,0.09978,-0.01218,0.06011,-0.04494,0.03928,0.05849,0.0061,0.17749,0.08803,0.2362,0.03888,0.21457,0.2215,0.14817,0.18179,0.19469,0.15466,0.15672,0.18286,0.16628,0.18858,0.13639,0.16521,0.20999,0.15987,0.15306,0.15804,0.16441
1495,0.5633308009053238,0.24791,0.22184,0.21722,0.24997,0.24914,0.25441,0.26922,0.24055,0.22048,0.21271,0.20085,-0.00795,0.1841,0.03276,-0.01909,0.0088,0.09244,0.1066,-0.01396,0.06607,-0.00896,0.04693,0.1465,0.07736,0.01548,-0.03987,0.21669,0.18987,0.1943,0.05982,0.21068,0.14347,0.18013,0.18093,0.09166,0.14892,0.17292,0.059,0.03015,0.21732,0.16444,0.21785,0.1839,0.22731,0.20327,0.20794,0.19255,0.18921,0.2383,0.02501,0.01768,-0.00846,-0.00402,0.07562,0.12826,-0.02747,0.04603,-0.03219,0.03282,0.06448,0.02591,0.15979,0.14897,0.14314,0.06242,0.22697,0.20089,0.19456,0.17492,0.19078,0.13371,0.1826,0.17008,0.18874,0.20064,0.20237,0.16792,0.21668,0.17052,0.18953,0.15748,0.18388,0.17803,0.01741,-0.02836,-0.02452,0.06002,0.10735,-0.02155,0.06642,-0.04203,0.03698,0.06781,0.00995,0.17976,0.08696,0.25381,0.05012,0.19546,0.23502,0.1563,0.1876,0.20315,0.16283,0.16111,0.1857,0.17098,0.18813,0.14635,0.16529,0.20944,0.15761,0.15364,0.16172,0.17045
