,Data
0,0.9163044050199283
1,0.9755093976814919
2,0.8905764405099307
3,0.968699159627457
4,0.954449968793338
5,0.929948389572394
6,0.7975696441471948
7,0.8409538985924112
8,0.6575029033977483
9,1.004443327618673
10,1.0176856334271305
11,1.010112850186982
12,1.084267895437899
13,1.0975151345488778
14,1.0536493218105294
15,1.0178470857923396
16,1.0833676616007457
17,1.1064717861302733
18,1.0884193518509382
19,0.9785403909561043
20,0.9546783021654625
21,0.9471476898174093
22,0.9527666346726815
23,0.980166841483745
24,0.9707281256773167
25,0.9723049784848029
26,0.9451092282828384
27,0.9300030979373056
28,0.9115134232143222
29,0.9048513460083991
30,0.9306774442691679
31,0.9533590628185603
32,0.9615473034069754
33,0.9454032239141089
34,0.9164828151023299
35,0.8870271790841475
36,0.8769865741660643
37,0.8984535264608835
38,0.9339274761896024
39,0.9681020929982692
40,0.9571129765331094
41,0.9178890939481987
42,0.883455107584427
43,0.8616754285858415
44,0.8690830054008808
45,0.8972968103393292
46,0.9254801301998031
47,0.9357726797211177
48,0.9184519172052334
49,0.8889765039181953
50,0.8595359262330842
51,0.8501550248794357
52,0.863154828612854
53,0.8928473665527358
54,0.9109821281212245
55,0.9161618701908464
56,0.8965450627608055
57,0.8713930619438901
58,0.8487931801345223
59,0.8431381199738474
60,0.8533328928173276
61,0.8715616390562314
62,0.8806368794553949
63,0.8766162824321573
64,0.8672247025077687
65,0.8629786241859386
66,0.8841016586343169
67,0.9280478668991741
68,0.9376724395647005
69,0.8670015923252771
70,0.8385086994649098
71,0.8223167205485729
72,0.8093799719761077
73,0.7988932216055166
74,0.7877789426236115
75,0.7792396904992162
76,0.7685630797891113
77,0.7773356608891845
78,0.7677678757691377
79,0.7685218830206005
80,0.7703493203389974
81,0.7728990137146536
82,0.7621964374257385
83,0.7359239916575921
84,0.7204795905374365
85,0.718102107043894
86,0.723154836620734
87,0.730975216300601
88,0.7376108672190136
89,0.7323502447180138
90,0.7124383996902496
91,0.6891090856617542
92,0.6719384564284758
93,0.6706796972013939
94,0.6834306678166162
95,0.6978911939163973
96,0.7031098230160151
97,0.6853555936501937
98,0.6605226773163874
99,0.6494697225825335
100,0.6291086811181805
101,0.6347176138393028
102,0.6505450763212474
103,0.6583554628479914
104,0.6502721447245975
105,0.6263993062685608
106,0.5956168187826448
107,0.5773097622821749
108,0.5743301836337673
109,0.5833121750129536
110,0.591780597952776
111,0.586093266318536
112,0.5758353718781849
113,0.5575207855037337
114,0.557243382098804
115,0.5689440381937195
116,0.6003977318584478
117,0.6601220505046584
118,0.6384120985155457
119,0.6338712106582723
120,0.6298943136519953
121,0.592416233345767
122,0.5722441522456565
123,0.5653793204000395
124,0.5626273303013106
125,0.5553484467087012
126,0.5499603116177855
127,0.5347338589605557
128,0.5306824090489507
129,0.5454891126227545
130,0.5708074532648841
131,0.6100119618408234
132,0.6251434255858378
133,0.6521646201944192
134,0.6782659015017478
135,0.6728140104400606
136,0.6658629235763911
137,0.6597548343531563
138,0.6560783699082905
139,0.653107386526116
140,0.647740157327597
141,0.6478322567815998
142,0.6580534861748591
143,0.690858375865606
144,0.7140537492005499
145,0.7394792103807927
146,0.7275962631673671
147,0.6961403011229096
148,0.6638760921696156
149,0.6479597229564251
150,0.6455010512594773
151,0.6521568076918156
152,0.6581013130186657
153,0.6539423185334863
154,0.6569697292562222
155,0.6310798876994633
156,0.6347562836940597
157,0.6057794381097942
158,0.6110423527807626
159,0.6138939237136337
160,0.6130590342753353
161,0.6221984489501674
162,0.6288996616391196
163,0.650799991594885
164,0.6692542862548174
165,0.685938471796572
166,0.7072049554431411
167,0.7149827689326361
168,0.7391126426566825
169,0.7287085582310002
170,0.7515173248897762
171,0.7503360111066323
172,0.771260610748955
173,0.7517294571435641
174,0.7687322211672458
175,0.7445277516168702
176,0.7172689891435102
177,0.6726303686912694
178,0.6721959756141972
179,0.6795277902898664
180,0.7535234504974984
181,0.8070861683437038
182,0.8856634404647927
183,0.9391992178748271
184,0.9976575341607352
185,0.9723916618961612
186,0.9724718261226052
187,0.8769074222656116
188,0.7795150455548215
189,0.7091368608389564
190,0.6672765586572194
191,0.6613516401649678
192,0.61272096048281
193,0.5608749163359444
194,0.546074174496865
195,0.5004511865993713
196,0.4477860686969949
197,0.4852601051737591
198,0.48111970757460304
199,0.5042019442389309
200,0.49296439694147665
201,0.4923766154983965
202,0.5361960527774948
203,0.4424085325843132
204,0.421190311199009
205,0.42224543818454563
206,0.38418990174508133
207,0.477185719611721
208,0.651489641407564
209,0.4991389965045183
210,0.5333541832387638
211,0.6273070903159099
212,0.4789253042958415
213,0.42835982848555476
214,0.409630019176654
215,0.40281651289071324
216,0.47169776619752285
217,0.5052190700992827
218,0.6224835852832893
219,0.6372420953405756
220,0.6980573851131118
221,0.5560649612553317
222,0.6671696667187788
223,0.47086433604502864
224,0.49079241991830264
225,0.6229668566471421
226,0.8091435014858683
227,0.8470607870328991
228,0.8133418357793093
229,0.8851617560184304
230,0.839861775810435
231,0.7510248222144139
232,0.6631872177882012
233,0.7795477562508148
234,0.7829882181076331
235,0.8515425387007887
236,0.9069750993360236
237,1.0167384985801908
238,0.9506965976656896
239,0.8837997762227663
240,0.7977295419598281
241,0.742302059614435
242,0.747789663055243
243,0.84553764168345
244,0.8801225409566182
245,0.9329142626749147
246,1.019704898600558
247,0.9962183332153575
248,0.8710411724381159
249,0.8720876184158762
250,0.7731845286405016
251,0.7527728602069234
252,0.7938959920406592
253,0.89157597125118
254,0.9024552088224063
255,1.000212033451675
256,0.9458048587831765
257,0.9269212516147043
258,0.838615535627148
259,0.8376141800000417
260,0.8499927358349456
261,0.834732767946075
262,0.9186426340037216
263,0.9958116467886722
264,1.0932421137573347
265,0.9597378164051807
266,0.9454511877122204
267,0.9937365561062285
268,0.9230711275037513
269,0.9572528942425574
270,0.9778235753363308
271,0.9957079271840857
272,1.0481860304153068
273,1.0725008775965932
274,1.0100272301050144
275,1.0462945762558402
276,1.0068269710968207
277,0.9477376357249541
278,0.9895531849473073
279,1.0002535275287923
280,1.0364796791321371
281,1.0111439525410124
282,1.0650806505363537
283,1.006347003995966
284,1.0051296020370788
285,1.0046726107767123
286,0.9772547376551968
287,0.9987394347273932
288,0.993275275461356
289,1.013313991977108
290,1.049297630139975
291,1.0680644482612982
292,1.0028755737905206
293,1.0056628211278194
294,1.0026663274674634
295,0.969064867147385
296,0.9840522716407027
297,0.9502445215860168
298,0.9851971462530842
299,1.0008600583934564
300,1.0815118222181723
301,1.0111064575897062
302,0.9843302871623342
303,1.0532818524535033
304,0.9681499363828401
305,1.0068851945011839
306,1.0003356755027444
307,1.0170516509141516
308,1.0280674167237922
309,1.0155354615161218
310,1.0365467365052463
311,1.0182537083247645
312,1.000108289259248
313,0.9869491020542808
314,0.9827158436596941
315,0.9964809557007486
316,0.9785533974651768
317,1.0151929100655699
318,1.0084367636333917
319,0.9872414168625251
320,0.9674455089132464
321,1.0081520002103643
322,1.0050623950479276
323,0.9854573571631575
324,1.0085438634213668
325,0.9806273704470402
326,1.0273046646067465
327,0.9844077864297123
328,0.9934861526040566
329,1.0084423215829506
330,1.0143878957949009
331,1.0009358013492367
332,0.9845493497531117
333,0.9955886906207985
334,0.9821527432731093
335,0.9966516151530163
336,1.002233605791993
337,1.0143502854468531
338,0.9965704613365471
339,0.9969360916396811
340,0.9900189146000618
341,0.9783240628034212
342,1.0155930637333692
343,0.9850269418599281
344,1.0226185939074428
345,0.9925573485868623
346,0.9967257898291024
347,0.9869105043599132
348,1.0015447079816269
349,1.0227300242662065
350,1.0051939600267452
351,1.0128045999285307
352,1.0028365780098727
353,1.0258752690904556
354,0.9794840177840294
355,0.9989987290439537
356,0.9863721416208181
357,0.9762722423065312
358,0.9674541748967237
359,0.9913011540518255
360,0.9850736089873199
361,1.0086894517070744
362,0.9747548954986208
363,1.0133131391861365
364,0.9969572667379872
365,1.0292235507601428
366,0.9962854656547151
367,1.0336546965672193
368,1.0283004630350867
369,0.9940508807617721
370,0.9947194682368637
371,0.9843453246284366
372,1.0042568243932013
373,1.0165134371450844
374,0.9935170708885176
375,0.989841547975121
376,0.9962146827819369
377,1.0335865602432972
378,0.9932659960126906
379,1.016070613471205
380,1.0081096359150816
381,1.031985300881665
382,1.0215529542033803
383,1.0087664285036315
384,0.996545110345925
385,1.0074058159924846
386,1.0093213946372697
387,1.0306138336145054
388,0.9627990497492808
389,1.0281367726486812
390,0.9870865346460314
391,0.9804789513898823
392,1.0597921369131382
393,0.9908365971480347
394,0.9879922688848635
395,0.9842985710123081
396,1.0035772376799414
397,1.0000448386704877
398,1.0210355124225856
399,1.0124212530513772
400,0.9823693373583685
401,0.9873842428246193
402,1.0058919667224044
403,1.006566021740504
404,1.0237358018854086
405,1.0104838509611935
406,1.0029175709345393
407,1.0000549403126624
408,1.01109257723221
409,0.9985262297469072
410,0.963773800458036
411,0.9495188486638853
412,0.9953510295042591
413,0.9998011712354552
414,1.0113620038487663
415,0.9943551817139344
416,0.9995270526983633
417,1.0149522545558147
418,1.0187107552681438
419,1.041912455545589
420,1.0078454000711237
421,0.9939517894445716
422,1.017801102948556
423,1.0114139116877203
424,1.0279714782776501
425,1.0076531664150359
426,1.0135557585488715
427,0.9793717719495376
428,1.008659467253308
429,1.0214648556568073
430,1.0015127363575962
431,0.9981737796673493
432,1.0115570540751253
433,1.0115292528881181
434,1.0293880530518473
435,1.0054144519573203
436,0.9921585364256972
437,0.9855114477611051
438,0.9987506414568958
439,0.9967639374840442
440,1.0048091491330085
441,0.9980826995380444
442,0.9956538996144865
443,0.9962240065573424
444,1.0179407005728414
445,0.9979387646711251
446,1.0009395873293494
447,1.0075081411438298
448,0.9970257463927689
449,0.9829453588443378
450,0.9971637515595935
451,0.9987608295161751
452,1.0023720789952597
453,0.9733995174634008
454,0.9796910398217349
455,1.0148522259846622
456,0.9868433965280473
457,0.9975780666718737
458,0.9925050019594104
459,1.0243693704100947
460,0.9969146187269299
461,1.024676904643919
462,1.0222037447986256
463,1.0182665361146477
464,0.985623638210615
465,0.9841034748189419
466,0.9983167332216883
467,1.033895597278238
468,1.003017938720784
469,0.9961213639108786
470,1.0423242338408865
471,1.003863033699768
472,1.0210599742077155
473,1.0162107020025226
474,0.9830897978964516
475,1.0052683336935377
476,1.0215153713169782
477,0.9921769785234604
478,0.9915579108158876
479,0.9917103498052783
480,1.011139247911425
481,1.0024105956626004
482,0.994093507160915
483,0.9951572140209388
484,0.9952758838406481
485,1.010567480543473
486,0.9991757715492847
487,0.9945305806558095
488,0.9878782011163258
489,0.9982875378451335
490,1.0029216851528622
491,0.995544890648104
492,1.0169443762283181
493,0.9952608692022074
494,0.9898861891505112
495,1.009068119828604
496,1.0262453068810002
497,1.0256384097867561
498,1.0012184135409472
499,1.0074054769986798
500,1.049069325768776
501,0.9996851903777475
502,1.0090098726688417
503,0.9977091123556151
504,0.996034101598392
505,0.9920321244187664
506,1.0130747226865342
507,1.016324453182929
508,1.018246620397055
509,1.0078492992104002
510,1.0048730718354257
511,1.0230355002513976
512,1.0180280182050128
513,1.0211358906750265
514,1.0091134704767044
515,0.9959296443479159
516,0.987572897387348
517,1.0014062288151917
518,1.0067812636935158
519,1.0218019182154636
520,1.005206798936762
521,1.01510245941989
522,0.9892375514383905
523,0.9782583169295649
524,1.0434524902322546
525,1.0199348640565162
526,1.0059000221510155
527,0.9914590916626475
528,1.0061879228847121
529,1.0050692436003867
530,0.9941466136060663
531,0.9975694351796627
532,0.9937861414997637
533,1.0026092940200375
534,0.9911656927613149
535,0.9951162553363737
536,0.9752315125021129
537,1.0225335742637178
538,1.0008547020959169
539,0.9878298382219527
540,0.9935417611545025
541,0.9864719918867938
542,1.0112745008591388
543,0.9789054891318943
544,0.9954831156402574
545,0.9948926268541344
546,1.0057645751858524
547,1.0026974367364703
548,0.9962085530684242
549,0.9944469841651297
550,0.9890288493925731
551,0.99851591523709
552,1.0009018955518112
553,0.9926214538727144
554,0.9983439122661788
555,1.0331770236157576
556,0.9852865665945257
557,0.9878258946411875
558,1.004491603787268
559,0.9792376826650965
560,1.003536397772297
561,1.003855799034847
562,0.9943125110923172
563,1.0054105550639303
564,0.9939613851688659
565,0.9915903547245276
566,0.9903073982544774
567,0.9951917265170457
568,1.0134023774737426
569,0.9926540645747833
570,1.0075411023128586
571,0.999350274615371
572,1.0105315954840932
573,0.9988948363690542
574,0.9940159504311651
575,0.9999926454585285
576,1.0094015859360905
577,0.9992923995987787
578,0.9938811873427565
579,0.9976995373699923
580,1.0140011090565062
581,1.0052820081165317
582,1.0024949602556328
583,0.9764918894469017
584,1.0060453310396262
585,1.0069090530891154
586,1.0153297991300416
587,0.9902765500907668
588,1.025123752019851
589,0.9682692201930432
590,1.0295535521238308
591,1.0137452322334342
592,0.9883964862338371
593,1.020983268807544
594,1.0091801466958503
595,0.9878567018015508
596,0.9984927474552188
597,0.9822260690908582
598,0.98611737432025
599,0.9732311896822632
600,0.9834595663611683
601,1.0034368635501005
602,1.0091740631250732
603,1.0105959860183675
604,1.0004320249912442
605,1.0090784030712576
606,0.9956880674860551
607,0.9902728024207744
608,1.0509337981703764
609,1.0163005540295535
610,1.0076652354210618
611,1.0006725441646998
612,1.0082657370749244
613,1.0002273226237082
614,1.018040284149515
615,0.9926827614816809
616,0.997673076387404
617,0.9935384541379824
618,1.0099109595182825
619,1.0093838978316154
620,1.0017796397423322
621,1.0140374859442418
622,0.9909108284953843
623,1.0066342518873768
624,0.9794838949535117
625,1.0083366393934228
626,0.9884003839074768
627,0.9925643471730963
628,1.027123316629681
629,0.996084835536191
630,0.9930573885882523
631,1.0018650181872775
632,0.9983517116656145
633,1.004805107828928
634,0.9884223503874875
635,1.0063157032385759
636,1.0148179583314119
637,0.9706433539247089
638,1.003816287494033
639,0.9968219555985657
640,0.9709119318537357
641,1.0002507460743897
642,1.0141734044596724
643,1.0121471895384297
644,0.9883237739374312
645,0.9879709028988312
646,0.9836880994713114
647,1.0049851477123148
648,1.0014106106057794
649,1.0061017102148946
650,1.0017118419420623
651,1.0007063968910188
652,0.9933115392610258
653,1.0013799927625697
654,0.9931789255719949
655,0.9973751137988118
656,1.0129731332996224
657,0.993443795309365
658,1.0108312223345925
659,1.0060293612480997
660,1.0015970364608986
661,0.9960898938852125
662,0.991346648089083
663,0.9962692846736316
664,0.9976059910207489
665,1.0116678610005359
666,0.9993714004478225
667,1.0044887506027131
668,1.0251575738465146
669,0.999031664461977
670,0.9763441135750417
671,0.9957859363560013
672,1.022143165940696
673,1.0001415062630805
674,0.9850644239638818
675,1.0083410766968437
676,0.9667487571063527
677,0.9872879638421873
678,0.9951521111486841
679,1.0261255809059615
680,1.0027450898196948
681,0.9801955213258177
682,0.9970794532199844
683,0.9983064293109377
684,1.0075862541119855
685,0.9987816780182495
686,1.0093352666067228
687,0.9881773042764899
688,0.9875378572918381
689,0.9820565632643283
690,0.9955866868443852
691,0.9969150383537491
692,0.999545545736264
693,1.0015088580391904
694,1.0009372392853044
695,0.9935414311876486
696,0.993291254783645
697,0.9986259122379019
698,1.0080791240889966
699,0.9993766639794871
700,1.0008426196026048
