,Data
0,0.5863498761474739
1,0.7415733548971002
2,1.2866784968199274
3,0.7604760178877369
4,1.2855251251959883
5,1.3645592508675413
6,1.6623256073636044
7,0.7708070063199172
8,0.5558282040256052
9,0.8116368357898797
10,1.0237923789960903
11,1.6423821210647764
12,1.1840300577932146
13,0.6714313558613096
14,0.8038788374556594
15,0.9750216242729908
16,1.0401014087766642
17,1.0281819338346678
18,0.9142065957599099
19,0.8641354272889505
20,0.9208229595746209
21,0.9722589801978888
22,0.9557856228820728
23,0.9405655861606257
24,0.9596307837863299
25,0.9693320126174753
26,0.961275605803956
27,0.9324552936077337
28,0.9261577981138776
29,0.9403273821678868
30,0.9578558354972678
31,0.9730806936988213
32,0.9759357829386256
33,0.9662445974848949
34,0.9544502145810937
35,0.9382674627059466
36,0.9277443548700656
37,0.9391039173233247
38,0.9633608017350106
39,0.9872825501658901
40,0.9870385503060625
41,0.968704834857233
42,0.9456427072654326
43,0.9245147007538257
44,0.9180458082602426
45,0.9276996877621767
46,0.9522823870229372
47,0.972793852052679
48,0.9765852523908689
49,0.9597209745230968
50,0.9324826591202052
51,0.9101701677822609
52,0.9042929953694888
53,0.9170125278329043
54,0.9401473489360685
55,0.9616824281085017
56,0.9632639689077455
57,0.9451763326815982
58,0.9178312841261311
59,0.8961964690495848
60,0.8913408248903499
61,0.9033030084593083
62,0.9241461616000287
63,0.9439013525756196
64,0.9450379538451525
65,0.9254687348663584
66,0.8977314025542746
67,0.8760183772352728
68,0.8781550911797916
69,0.8909194684072475
70,0.9124149874142895
71,0.9279717979049087
72,0.9274610187128267
73,0.912356042449263
74,0.887343099887627
75,0.8690518049667467
76,0.8683241792297475
77,0.8855596190313283
78,0.9060340690196806
79,0.9208227483782058
80,0.9205035577413144
81,0.8999874712196088
82,0.8751564493037552
83,0.855042794644045
84,0.8537019572649454
85,0.8691305660599861
86,0.8960143183351876
87,0.912990336936549
88,0.9107013854420878
89,0.8883834378496392
90,0.8611397963827655
91,0.842476976564366
92,0.8409930434167945
93,0.8536056843589906
94,0.8729655616416425
95,0.8882638519977925
96,0.8837419357038319
97,0.8678811816444145
98,0.8468149973778081
99,0.8380605166321402
100,0.8321742559102516
101,0.8411077379453815
102,0.8514313624979578
103,0.853574057689914
104,0.8406857119061293
105,0.8215079039563782
106,0.8081338146405943
107,0.8082399045183614
108,0.815590862705598
109,0.830744996716293
110,0.8460479540110507
111,0.848424710569344
112,0.8350578679632493
113,0.8171912722684823
114,0.801430763267455
115,0.7960494807569841
116,0.8058477032734885
117,0.835225829447735
118,0.8368321930776
119,0.8387032881624455
120,0.8268077163817972
121,0.8098397075315423
122,0.7845258379055168
123,0.7768661214421656
124,0.7795669877212872
125,0.7952515224861015
126,0.8110177384843168
