,0
0,645.458
1,327.7439075978382
2,446.9651608630916
3,450.9274208561865
4,483.5601927869167
5,589.8473442266594
6,367.8913031711204
7,458.15350951175145
8,636.8142126870677
9,1892.9722105296507
10,1583.3885087186904
11,2027.724490592222
12,1635.99906275435
13,1859.1849642034795
14,2961.3805194061692
15,3282.787182961722
16,4464.677950689768
17,3803.334350955558
18,4070.890840377157
19,4227.630538747202
20,4808.71017310156
21,5186.101355429604
22,5069.639215991583
23,5623.140145345843
24,5547.393913747157
25,5648.648363880643
26,5767.50798516658
27,5625.315862474815
28,5587.460517950703
29,5546.723627057363
30,5619.505815028157
31,5495.462099276679
32,5645.523701014456
33,5272.856837500544
34,5280.264413517892
35,5182.681611431852
36,5274.653919809043
37,5044.9613803902685
38,5303.099817248585
39,4880.285875110182
40,5026.087612803266
41,4791.316195184225
42,4781.7498135946
43,4652.090332466321
44,4528.84165786857
45,4363.580975208765
46,4353.958439415534
47,4192.853950032343
48,3963.419499718719
49,3760.648270534759
50,3613.5347695650275
51,3518.791843682595
52,3489.1505885356
53,3368.0172731848934
54,3285.895326167212
55,3174.771269170051
56,3047.2371483720217
57,2860.661811496689
58,2713.124995009431
59,2725.3299422519335
60,2754.0007590589676
61,2719.292472634885
62,2643.740548539496
63,2527.3099205721205
64,2407.2717034001716
65,2195.924794935013
66,1984.7544181209362
67,1782.4112804266072
68,1716.3841480003698
69,1937.0829184343338
70,1978.7612973544371
71,1943.8695463629992
72,1900.8756983698602
73,1785.9843564306518
74,1694.519630626544
75,1676.7534766309548
76,1703.9419156991657
77,1467.2201662776524
78,1574.7086988332082
79,1589.6678106453137
80,1486.0344488169462
81,1320.21715321297
82,1271.5874010565842
83,1320.0413489855212
84,1345.5930706751444
85,1331.5564073799114
86,1304.108126889061
87,1286.950556023534
88,1218.907359621834
89,1165.030996941264
90,1131.0346399773387
91,1102.9178940560973
92,1096.1114080690834
93,1101.7185580089854
94,1105.5201875105527
95,1034.1329541802047
96,946.5308393843882
97,893.2962205646306
98,875.0738725228597
99,774.7118082072461
100,874.8255732830722
101,857.2758461695132
102,841.018004253507
103,801.0989163111537
104,743.5888619413677
105,693.5049939702684
106,682.6422261207116
107,697.0203209084464
108,689.4090896663055
109,670.8211034769292
110,642.616160398527
111,613.5979047528863
112,557.9227157772037
113,549.1683683957508
114,531.9254166186308
115,521.52957594031
116,482.5864447689448
117,322.0087938100689
118,472.4165525291358
119,439.4147767807373
120,332.9131696359856
121,383.7846332550256
122,379.7850603659466
123,368.30478064055234
124,359.48619516299385
125,353.20340888966433
126,309.30080765752814
127,317.5194397689611
128,302.5361509332934
129,292.5251891340458
130,283.13799448248415
131,234.29998950711095
132,266.70834246966564
133,252.49752379388897
134,232.31924245806232
135,223.96437718828756
136,228.0493363943709
137,223.36892030337143
138,222.38687812850574
139,216.89968525610195
140,208.72234777884142
141,199.92037356608344
142,187.51269464258638
143,158.1474437856255
144,154.40952022941306
145,140.05487205711972
146,143.49505845554478
147,152.3790314060714
148,159.88473272307922
149,159.99192607353152
150,156.12188879859326
151,150.19192161996813
152,123.00523351750398
153,141.468170501737
154,113.08841656625924
155,142.54541018408406
156,118.88828680665091
157,128.9156710906362
158,121.87398254119591
159,93.61029026711617
160,107.66179999475891
161,103.2984734325282
162,99.65258460498782
163,93.66080398040528
164,82.84152123014013
165,81.22310868365493
166,70.04386737489688
167,69.29119124591608
168,59.21912014138643
169,66.08976745412157
170,66.54279329517486
171,66.8010033891068
172,63.31388214177664
173,52.26794619476631
174,56.606129079643964
175,52.456954453295275
176,48.807851193093036
177,46.66350761647364
178,44.43202057158862
179,39.58239492166969
180,36.59752987564187
181,32.79516298668959
182,26.510554247698607
183,20.71125391589751
184,14.24533789557359
185,4.27634349961593
186,11.54754684910817
187,11.498490525016985
188,13.247749451131291
189,16.56873716980519
190,19.78185159101892
191,21.66747563534787
192,20.18435127639897
193,20.439202749793584
194,15.578808446708338
195,15.790895708454872
196,19.87717654768067
197,20.48911470087633
198,21.259383289300303
199,20.013914789784305
200,19.738141506217026
201,18.541320613019682
202,14.109390176922707
203,18.327008572899555
204,18.321765721888482
205,18.334637708017034
206,17.49704547800183
207,16.546458569897958
208,10.173815373681238
209,14.263587484606864
210,13.99285193492248
211,6.32142726627655
212,11.459007461531876
213,11.273622631378773
214,10.620449417822737
215,10.745022309393683
216,10.139301763811899
217,9.504528013901734
218,9.817254873645886
219,8.266486186436225
220,5.15108308303863
221,7.205814242284898
222,4.19308028724889
223,4.703213650006378
224,5.349194607864262
225,5.7249451975262335
226,5.077096316635441
227,4.530166333420632
228,4.0815909917646875
229,2.745623145000939
230,1.758905857512946
231,1.1278006323418766
232,2.227082493397028
233,3.3584671806404613
234,3.779183599865557
235,3.402388892945221
236,3.5236425585124955
237,2.820605090846981
238,2.2932138395329393
239,1.820192942458071
240,1.968767936866533
241,2.256946267399676
242,1.9951504727701346
243,3.278118465632183
244,1.9991223347765952
245,2.2766210534596496
246,1.6015460735048628
247,1.672103248274564
248,0.6370574049523805
249,1.0409636212173055
250,1.2648535574012012
251,1.7320558646540631
252,2.2970710681298967
253,2.3976102366512553
254,1.633822880708928
255,2.6996573144560494
256,0.5449799852901909
257,1.000319896629787
258,0.9438234913174343
259,1.6934309460435382
260,1.7831526410447156
261,3.1913640423789786
262,2.079627830911523
263,2.2415017906145107
264,2.0624997891487844
265,0.7599307773768925
266,0.08592371277175692
267,0.31900242216508196
268,0.8344875681718386
269,1.122330750435287
270,1.8462102558776718
271,1.8795941427367229
272,1.511156508874619
273,1.406283460504318
274,0.49622146159541675
275,0.3978364851652153
276,0.7484698226999793
277,1.6626882328627894
278,1.449625227374276
279,0.7074291995936967
280,1.5875555942530097
281,1.1621444797468101
282,0.7886079754474835
283,0.755722051206929
284,1.0227896785049186
285,0.5648026578026885
286,0.3842013484394462
287,0.6005035408294871
288,0.9423223679828192
289,0.9195251758502988
290,1.3835953746168073
291,0.9695768018378678
292,0.8158710051481509
293,1.1038176700130928
294,0.3807306585101549
295,1.195917386897413
296,0.5148048148424326
297,1.0959857967312026
298,0.3363560859198418
299,1.3617493788114086
300,1.371155096818165
301,0.6639936813316271
302,0.4009892174762698
303,0.3976248138168424
304,1.200910699776251
305,0.7654707126739345
306,1.2278730014314712
307,0.5754792164741754
308,0.5602147150420115
309,0.8098775839497275
310,0.6969407496805952
311,1.1754360678515896
312,0.9116616947305665
313,0.3510573236062494
314,0.4950694959623231
315,1.1924941443045678
316,0.5736239842067254
317,0.5039327277748491
318,1.0593748067053315
319,0.8225111910352503
320,0.39340747656671604
321,0.5186129121864884
322,0.7379662372215069
323,0.47066909919111183
324,0.8937455326225847
325,0.7545833147754701
326,0.46364734922138956
327,0.44721816058570724
328,0.6899572508021143
329,0.7090934058168267
330,0.1260009257771987
331,1.0360195564124008
332,0.9473536701052867
333,1.2171594866004303
334,1.272442014481973
335,0.4802918506333016
336,1.2720042792524
337,0.42483271203403766
338,1.55389106374711
339,0.7006341779985029
340,0.6646889977160071
341,0.893205651900629
342,1.4357582804728621
343,0.6308871984181216
344,0.6686413580740557
345,0.8072888143147452
346,0.6763975320020652
347,0.26404666338118676
348,0.8901863582918506
349,0.2287816723159603
350,0.404871955985532
351,0.9667341650246435
352,0.6300407549412952
353,0.333927386627802
354,0.07058054847605193
355,0.7395622046785604
356,0.5748020557470258
357,0.8264431559213344
358,0.8830616093450101
359,0.15291372844766282
360,0.9178281526139772
361,1.0520820108868043
362,1.3392365611376722
363,0.7435178854979589
364,0.32130450063864074
365,0.5278978184753054
366,0.5992719267370665
367,0.7951392756322554
368,0.35665529032849064
369,0.23217824509691612
370,0.4493978702797302
371,0.497463742836803
372,0.7543455034920211
373,1.283860790436827
374,0.66058064065686
375,0.312848041851159
376,0.5326376781065749
377,0.6687282188695642
378,0.5636157664968022
379,0.8047179486030988
380,0.8980455976059966
381,0.25724918196281604
382,0.7582640046928034
383,0.2593809356776934
384,0.7387864452657992
385,0.8780274839765032
386,1.5274558510285308
387,0.3612640922903743
388,0.06718706106846538
389,0.418264137364598
390,0.45705436409568007
391,0.5344510606607523
392,0.6452824991314092
393,0.6493990985183008
394,0.8206146747920615
395,0.40519825140845994
396,1.596590969179569
397,1.1320625354837954
398,0.37937739324595166
399,0.5097887249560187
400,1.0238666141124857
401,0.692321772323572
402,0.717216979411587
403,0.5789923540738301
404,0.7010971710648387
405,1.2332845144223057
406,1.5470276798503688
407,0.934383004419624
