,0
0,687.39
1,428.64631870434766
2,347.72209013091
3,542.354801187849
4,387.2414493237099
5,472.8224492129575
6,207.3890817592259
7,829.2639377030717
8,591.0843961151137
9,2188.682937126968
10,1363.5456988232797
11,1187.781710536674
12,1405.7071445171748
13,2153.208913502328
14,3030.51744646313
15,3413.2264045578763
16,3868.100545729926
17,3701.175590531224
18,3952.0081479271257
19,4693.861632551404
20,4492.193385626659
21,5113.528867631827
22,4932.409798362848
23,5628.33922906578
24,5456.8301745937015
25,5458.048159317438
26,5746.349418230355
27,5822.712438302439
28,5831.125878198918
29,5670.909544195309
30,5598.903182304769
31,5395.440570388157
32,5599.374954740794
33,5390.874663885638
34,5520.585390199582
35,5506.382135216333
36,5590.1276619444025
37,5206.609501083241
38,5325.02684203334
39,4859.60043540574
40,5016.323637849093
41,4906.261823802837
42,5020.516410698463
43,4934.20785751144
44,4774.2739694731745
45,4502.6878293817335
46,4408.388331564503
47,4205.256038477881
48,4027.7903112616
49,3924.9312638896567
50,3861.5056013766252
51,3797.471761743368
52,3730.8793667676246
53,3531.999619970851
54,3366.954960504402
55,3242.6788841211114
56,3176.4242814232894
57,3061.3735492903506
58,2963.979269602113
59,2998.019936673601
60,2992.326844679405
61,2888.710789041588
62,2785.025903884696
63,2690.9296515212905
64,2646.8836731888855
65,2527.096493080256
66,2419.759598880463
67,2431.49164129426
68,2450.5867138315443
69,2300.9652549316856
70,2179.684932644523
71,2105.237813137585
72,2083.9487120870704
73,2001.082659080892
74,1923.6804023121513
75,1891.9259081079483
76,1881.8949682849504
77,1594.3163030845856
78,1681.253702551539
79,1709.7043322658649
80,1637.5893009182507
81,1500.1371246320434
82,1461.3041258088347
83,1512.8771647309122
84,1511.0456410041174
85,1461.398835694556
86,1411.070278582601
87,1403.594622444711
88,1359.7495727807802
89,1335.4785699375734
90,1317.2050386776236
91,1275.5013073918303
92,1246.1035314094916
93,1231.407680048189
94,1227.0549176490972
95,1159.413765037829
96,1082.1739689673705
97,1036.7911869745733
98,1023.7462819821062
99,899.0280388025649
100,996.9889496747367
101,969.4562936753475
102,956.0787992863254
103,927.9873216103695
104,881.3698011132025
105,831.4348651614113
106,813.6758414974585
107,817.0855321917664
108,792.9853694892311
109,762.8346792521363
110,740.1193649790879
111,726.1980671112489
112,685.6001118579173
113,682.489158959311
114,652.6281915252913
115,625.1112864097969
116,568.7514092551004
117,379.3619332045844
118,554.5717115865891
119,528.7306232399267
120,415.584045886121
121,479.1054919296342
122,474.7564793016126
123,452.99355701142986
124,436.3005664997128
125,426.22535781434357
126,379.18196263916883
127,396.9505770714035
128,387.6361990887008
129,379.3444009762818
130,368.7705098276766
131,305.7571012237335
132,353.65798095586877
133,347.9016311489132
134,331.0718843831245
135,313.81175732689917
136,312.67476611663295
137,304.8097509680545
138,299.1142173931831
139,290.7234876849977
140,280.882012928295
141,274.2691477916907
142,269.3468612498526
143,240.41338685148978
144,248.6472995504897
145,238.14830947009128
146,237.04467431393599
147,235.0940159313169
148,231.33560113914777
149,224.09596828783498
150,216.12691088527262
151,207.8644150382521
152,169.98909910749842
153,193.24441941873565
154,153.66019688968547
155,191.59899516684536
156,160.628753686846
157,177.66299843598873
158,173.51298172150882
159,135.0492522579723
160,154.20295909159515
161,146.79190384315984
162,138.76631720108537
163,127.37780847020561
164,114.31902417458683
165,115.09547830954467
166,104.30477986161937
167,106.1351958789021
168,90.84274028651505
169,101.46431688188146
170,100.61947472656827
171,101.65995128577018
172,98.28433851409977
173,81.96871206746154
174,92.12348073880467
175,89.89532176766852
176,86.49029597621656
177,85.27870406055486
178,83.88320149019133
179,80.72985222592447
180,80.70165594361261
181,78.0857461809728
182,74.3738903906079
183,69.92735898092963
184,61.6066464244936
185,21.816293330673687
186,56.50677788693413
187,56.91388526950551
188,56.09240950357423
189,57.847095690967606
190,56.359599256467106
191,54.59096383514794
192,51.73032045573701
193,48.38273449540538
194,39.22391436352181
195,38.884797957357925
196,47.77566471062529
197,46.87894413821133
198,44.47290622521201
199,42.0937662634294
200,39.54170532493263
201,39.45388137304539
202,30.586736842357592
203,37.82390795180989
204,38.09610417280938
205,36.540986113155355
206,33.64962827081741
207,30.0064004742359
208,16.757578641099478
209,24.593122993209573
210,25.69031377146408
211,13.153772918969047
212,23.98220052033305
213,23.909622770479373
214,23.589627124788244
215,23.558471693189425
216,21.22005263515493
217,22.19562271782206
218,21.963896919356213
219,19.397635900106152
220,14.091000395877778
221,19.22948370118536
222,12.335941237307543
223,15.227371039136461
224,17.43243090814705
225,16.614272667204382
226,16.74980117897946
227,16.509011605724492
228,15.409509643391592
229,14.08649575599386
230,11.469698222765137
231,11.25028197764381
232,11.564953084265316
233,11.582828456876024
234,11.187946006874885
235,12.452146840534882
236,12.636691412160646
237,11.93376767599289
238,11.594419971093872
239,11.23992034645668
240,9.429439384159679
241,10.2454618161908
242,9.673132176045526
243,8.684551312453886
244,7.98426772875932
245,7.378697270163459
246,8.462158860859281
247,9.798440385073338
248,7.406542986362122
249,9.769704002909942
250,8.202573596678635
251,7.472884014284023
252,5.553706715667828
253,6.220863365637203
254,5.735601118151829
255,7.555132472039663
256,3.4765973159314854
257,6.833712983055431
258,6.914891420675457
259,6.032512716585315
260,6.575901667228091
261,5.792837865873657
262,5.538278329495805
263,5.352313639944634
264,5.380181375534134
265,5.361406536464409
266,4.788303587151764
267,2.056927808257705
268,4.001445415489049
269,4.663637145532428
270,5.091642415855578
271,5.4562984007071345
272,3.850334549051989
273,3.736863311285386
274,1.9874567542117738
275,2.6986582810813062
276,2.601611380880927
277,2.875791498299196
278,4.008539373857481
279,1.6833962665427766
280,3.531725570009974
281,2.956092076300641
282,2.2462937784936656
283,2.8364696580519144
284,1.434516768984558
285,1.3836743894039119
286,1.6302610522642598
287,1.5983273007628196
288,2.522786638372273
289,1.928444097633668
290,2.278577560766678
291,2.4589955483123083
292,1.5072092241923083
293,2.3909894606716326
294,1.7604829668361517
295,1.024294427463022
296,0.47737010080691056
297,0.9753618774138254
298,1.5491643241984348
299,1.8471791614185258
300,2.5785981434254315
301,2.075798876953061
302,2.1971902620367048
303,2.0195270338126154
304,1.5857086564390575
305,1.2486498527893435
306,1.1336921535180702
307,0.9204304825927034
308,0.9617103461656272
309,0.5768805109178663
310,1.7664545754725527
311,1.5082377955067587
312,1.530488544242703
313,0.5322946396361815
314,0.9225918055343493
315,0.5191549245435694
316,0.962074540698108
317,0.7180901315363499
318,0.2757527549129037
319,1.1598816015430922
320,0.16229506338969757
321,1.181486894183804
322,0.7560787600251925
323,0.8922238228692074
324,0.6972508959707079
325,0.8554506944996237
326,1.0816586249883628
327,0.6987498189613153
328,1.2223370552289665
329,0.9669013490338896
330,1.228647722575318
331,0.9617636982095547
332,0.6106540417982028
333,0.7338787383714481
334,0.8896359442298887
335,1.1329491097608078
336,0.4646114860936133
337,0.4185746457509681
338,0.05957598993154413
339,1.2111039997143698
340,1.2624341945996513
341,0.7072282773211561
342,0.36719734440938
343,0.9496216413102235
344,0.7190544979230268
345,0.2368246235303562
346,0.5881126832853045
347,0.4466101913051586
348,0.7754410203799984
349,0.962482065015519
350,1.2195529416114448
351,0.5783695218701594
352,1.035547497713725
353,0.8024599086764547
354,0.48783900764179244
355,0.5912441181301779
356,0.21945635751116602
357,0.9995640701412961
358,0.8604411124030096
359,1.150041038599986
360,1.1325074864623415
361,2.051810683041001
362,0.8501822780531136
363,0.5662304122249452
364,0.6341136009977177
365,0.3007110225323772
366,0.8598248962350948
367,1.1708247280320432
368,0.9253614622323345
369,1.4518349405953166
370,0.7873245304273847
371,1.354428927729193
372,1.2782185691144996
373,0.12811386954231624
374,0.6697506379985518
375,0.4653407356484217
376,0.822879884535192
377,0.6715248696588311
378,1.4920313633880182
379,1.057253232080614
380,0.6830064866713578
381,0.6256032711920835
382,0.650832105887507
383,0.19538148830772295
384,0.8320422559839376
385,0.7100045564028333
386,0.18223873128885995
387,1.281582362629753
388,0.6191097523814515
389,0.3277031031917939
390,0.4711710298473992
391,0.699805151805054
392,1.1676966371418882
393,0.8954868676907274
394,0.6990890860249752
395,0.9014544568241819
396,0.4240273428057333
397,0.6530325081990469
398,0.7716213374292464
399,1.0186386986290246
400,0.02335012539594408
401,0.12339731687978933
402,0.6475924238865862
403,0.7213175963311709
404,0.5662918647924775
405,0.5339979147153877
406,0.3613165806272783
407,0.5744809457431921
408,0.30899615752745885
409,0.6585483705159642
410,1.0926327313003181
411,1.1514801011248506
412,0.2057964478237162
413,1.0441683055560136
414,0.5005283865955995
415,0.5794109794363427
