,0
0,716.9139999999998
1,310.7221519997587
2,426.57698749987895
3,433.2002025134367
4,499.5492477097881
5,627.4024293704479
6,357.7708713418822
7,602.952859080683
8,529.0185788046676
9,1838.098718609135
10,1503.7714875133945
11,2020.3075283185867
12,1494.443389990414
13,1511.2215259538239
14,2700.9634867025975
15,3441.449873576489
16,4229.367836107975
17,3817.829778658409
18,3754.4766666812893
19,4301.558227990629
20,4611.562734838386
21,5243.30227690744
22,5146.468679804993
23,5525.886030249947
24,5400.522661316423
25,5384.526094650766
26,5565.565297778915
27,5523.157836516138
28,5471.301028659507
29,5481.075026178418
30,5502.261163222737
31,5359.4475319736985
32,5479.747673195477
33,5103.665218734908
34,5092.421590159836
35,5096.654404459436
36,5350.813111688523
37,5163.4199518886
38,5384.483621949285
39,4797.356705524339
40,4949.282058821738
41,4813.82556892648
42,4926.788541469723
43,4914.306357284219
44,4846.878361617314
45,4629.813030516194
46,4514.004768315238
47,4260.509216083252
48,4013.994104149804
49,3865.080031269617
50,3801.80142682119
51,3785.6989523663283
52,3765.364579626941
53,3531.2196239892673
54,3331.3405660771673
55,3123.3514118125886
56,2997.639351986633
57,2874.593592237414
58,2817.0843423923634
59,2892.4341815627595
60,2899.470542503291
61,2749.32404324426
62,2558.84122706803
63,2395.090275100135
64,2305.665461033242
65,2177.260490748102
66,2021.3956246928026
67,1803.5491268207418
68,1718.3011262598284
69,1920.1512709182207
70,1902.1910147903573
71,1819.0082475157571
72,1796.387239666012
73,1753.8172329565746
74,1737.2954200661381
75,1749.667822167886
76,1735.518444791734
77,1375.9153115650474
78,1450.1769587745648
79,1471.871118923782
80,1410.5330072479812
81,1291.2467594614006
82,1288.5372977043098
83,1355.671466112778
84,1340.50623389917
85,1252.420221049206
86,1188.3518953616858
87,1197.587061513436
88,1180.443339257696
89,1181.2077186293302
90,1178.250836704151
91,1127.9189847299476
92,1070.3892714533533
93,1029.9593219422422
94,1014.830122333651
95,969.8185009733788
96,929.0213225309174
97,910.4595981751116
98,901.3920378926406
99,746.8856641569434
100,828.4806139727507
101,788.0749845618926
102,775.0348162192777
103,763.356864901837
104,743.2129544546387
105,711.6950317292378
106,690.9655235343324
107,678.8877545755605
108,642.8238174264666
109,612.5529076670055
110,596.5717694206711
111,594.2349418914055
112,559.6310473710163
113,566.2016105863424
114,532.3415684289761
115,498.70998770113016
116,434.68411178787306
117,263.22518323576065
118,440.2872437804319
119,427.6883483005763
120,317.7547015080019
121,380.5957780172366
122,369.29620553689085
123,344.4466281396518
124,329.06436535192165
125,326.6420690117492
126,290.1024440437818
127,314.3277601398709
128,304.7776339222661
129,289.834447255418
130,271.88365262411
131,209.35380014254787
132,247.2251491726247
133,237.3811526445624
134,222.71374759595577
135,216.747094937091
136,222.70993087050758
137,214.9640940996732
138,209.05241434755638
139,200.68756000976813
140,194.26568107612238
141,189.82583699361766
142,180.7932430291628
143,149.20481329510213
144,146.36243855062523
145,130.41820083771842
146,132.73190329974685
147,140.42401962056525
148,149.74559811950468
149,152.0737228340426
150,152.1108611249671
151,147.8001165931507
152,115.81296822938262
153,134.98934126827868
154,100.18076967642546
155,132.31847292948288
156,107.65450424743946
157,123.79305839441011
158,120.2663975718901
159,87.44132713802784
160,103.27132522386887
161,99.14513592514791
162,93.59831312193495
163,87.78639213203459
164,78.20214866097271
165,78.23725279830175
